,datadate,tic,adjcp,open,high,low,volume,macd,rsi,cci,adx,turbulence
2159,20160808,BID,16600.0,16200.0,16500.0,16600.0,1551990,-294.810046677183,39.14370030608665,-224.13793103448282,35.56777475428038,0.0
2160,20160808,BVH,57500.0,57000.0,57500.0,58500.0,136670,-880.8483044702953,46.07552496733908,-108.84648742411137,18.79208478069119,0.0
2161,20160808,CTG,17200.0,17000.0,17200.0,17200.0,225100,-84.26770655810833,47.86782604205723,-62.44503078275866,9.7431750304044,0.0
2162,20160808,FPT,40600.0,40600.0,40800.0,41000.0,274690,-485.26805616975616,39.10068681895906,-96.77723332076765,27.211878055022325,0.0
2163,20160808,GAS,60500.0,59000.0,59500.0,60500.0,233810,-760.2676487180433,51.803941444129926,-70.13301088270927,9.554858342281152,0.0
2164,20160808,HPG,42800.0,42700.0,43200.0,43500.0,1978940,976.2931247242959,59.60169237188885,71.26843657817207,28.23025805403006,0.0
2165,20160808,KDH,23100.0,23000.0,23100.0,23200.0,61480,45.35261606231143,52.32567207771131,61.97654941373612,18.207504671355306,0.0
2166,20160808,MBB,14800.0,14800.0,14800.0,14900.0,90900,-92.23433113028113,44.554032069056746,-144.01294498381426,10.098555889331044,0.0
2167,20160808,MSN,59500.0,59000.0,61000.0,61000.0,312390,-1822.3681375038213,29.200484953968513,-217.18683197948107,44.7558169857655,0.0
2168,20160808,MWG,132000.0,132000.0,134000.0,134000.0,81890,2625.480121030938,61.786637386234936,32.385466034755,31.488260706748495,0.0
